"";"SoilCode";"LandUseCode";"soilveg";"k";"s";"nrill";"pi";"ppl";"ret";"b";"nsheet";"y";"tau";"v"
"1";"C";"AZP";"CAZP";1e-12;0;0,01;0;0;2,5;1,5847;0,05;0,05;100;0,05
"2";"C";"ETK";"CETK";2,76723e-06;5,74783e-05;0,01;1,4;0,65;8;1,6665;0,35;0,6358;13,27;0,305
"3";"C";"ITK";"CITK";2,76723e-06;5,74783e-05;0,01;1;0,4;5;1,6665;0,15;0,6358;13,27;0,305
"4";"C";"LP";"CLP";2,76723e-06;5,74783e-05;0,01;1,354545455;0,622727273;9,454545455;1,6665;0,4;0,6358;13,27;0,305
"5";"C";"OP";"COP";2,76723e-06;5,74783e-05;0,01;0,16;0,13;5;1,6665;0,12;0,6358;13,27;0,305
"6";"C";"TP";"CTP";2,76723e-06;5,74783e-05;0,01;1,1;0,4;7;1,6665;0,275;0,6358;13,27;0,305
"7";"C";"VP";"CVP";1e-12;0;0,01;0;0;0;1,5847;0,001;0,48887216;100;3
"8";"CL";"AZP";"CLAZP";1e-12;0;0,01;0;0;2,5;1,5847;0,05;0,48887216;100;3
"9";"CL";"ETK";"CLETK";2,9691e-06;0,000215728;0,01;1,4;0,65;8;1,7025;0,35;0,6028;11,5;0,264
"10";"CL";"ITK";"CLITK";2,9691e-06;0,000215728;0,01;1;0,4;5;1,7025;0,15;0,6028;11,5;0,264
"11";"CL";"LP";"CLLP";2,9691e-06;0,000215728;0,01;1,354545455;0,622727273;9,454545455;1,7025;0,4;0,6028;11,5;0,264
"12";"CL";"OP";"CLOP";2,9691e-06;0,000215728;0,01;0,16;0,13;5;1,7025;0,12;0,6028;11,5;0,264
"13";"CL";"TP";"CLTP";2,9691e-06;0,000215728;0,01;1,1;0,4;7;1,7025;0,275;0,6028;11,5;0,264
"14";"CL";"VP";"CLVP";1e-12;0;0,01;0;0;0;1,5847;0,001;0,48887216;100;3
"15";"L";"AZP";"LAZP";1e-12;0;0,12;0;0;2,5;1,5847;0,05;0,48887216;100;3
"16";"L";"ETK";"LETK";3,6765e-06;0,000194063;0,12;1,4;0,65;8;1,7385;0,35;0,5613;10,79;0,248
"17";"L";"ITK";"LITK";3,6765e-06;0,000194063;0,12;1;0,4;5;1,7385;0,15;0,5613;10,79;0,248
"18";"L";"LP";"LLP";3,6765e-06;0,000194063;0,12;1,354545455;0,622727273;9,454545455;1,7385;0,4;0,5613;10,79;0,248
"19";"L";"OP";"LOP";3,6765e-06;0,000194063;0,12;0,16;0,13;5;1,7385;0,12;0,5613;10,79;0,248
"20";"L";"TP";"LTP";3,6765e-06;0,000194063;0,12;1,1;0,4;7;1,7385;0,275;0,5613;10,79;0,248
"21";"L";"VP";"LVP";1e-12;0;0,12;0;0;0;1,5847;0,001;0,48887216;100;3
"22";"LSA";"AZP";"LSAAZP";1e-12;0;0,016;0;0;2,5;1,5847;0,05;0,48887216;100;3
"23";"LSA";"ETK";"LSAETK";1,20947e-05;0,000434374;0,016;1,4;0,65;8;1,8165;0,35;0,3661;10,66;0,245
"24";"LSA";"ITK";"LSAITK";1,20947e-05;0,000434374;0,016;1;0,4;5;1,8165;0,15;0,3661;10,66;0,245
"25";"LSA";"LP";"LSALP";1,20947e-05;0,000434374;0,016;1,354545455;0,622727273;9,454545455;1,8165;0,4;0,3661;10,66;0,245
"26";"LSA";"OP";"LSAOP";1,20947e-05;0,000434374;0,016;0,16;0,13;5;1,8165;0,12;0,3661;10,66;0,245
"27";"LSA";"TP";"LSATP";1,20947e-05;0,000434374;0,016;1,1;0,4;7;1,8165;0,275;0,3661;10,66;0,245
"28";"LSA";"VP";"LSAVP";1e-12;0;0,016;0;0;0;1,5847;0,001;0,48887216;100;3
"29";"SA";"AZP";"SAAZP";1e-12;0;0,016;0;0;2,5;1,5847;0,05;0,48887216;100;3
"30";"SA";"ETK";"SAETK";1,79593e-05;0,000473427;0,016;1,4;0,65;8;1,8165;0,35;0,3661;10,66;0,245
"31";"SA";"ITK";"SAITK";1,79593e-05;0,000473427;0,016;1;0,4;5;1,8165;0,15;0,3661;10,66;0,245
"32";"SA";"LP";"SALP";1,79593e-05;0,000473427;0,016;1,354545455;0,622727273;9,454545455;1,8165;0,4;0,3661;10,66;0,245
"33";"SA";"OP";"SAOP";1,79593e-05;0,000473427;0,016;0,16;0,13;5;1,8165;0,12;0,3661;10,66;0,245
"34";"SA";"TP";"SATP";1,79593e-05;0,000473427;0,016;1,1;0,4;7;1,8165;0,275;0,3661;10,66;0,245
"35";"SA";"VP";"SAVP";1e-12;0;0,016;0;0;0;1,5847;0,001;0,48887216;100;3
