SoilCode;Soil;Pùda;Source;code in soilmap;;Ksat (mm/h);Ksat (m/s);SIC1[m.s-1/2];SIC2[m.s-1/2];SIC3[m.s-1/2];SIC4[m.s-1/2];b;nrill;y;;;;;;;;;;
C;clay;Jíl;USDA;1;;9.96;2.77E-06;8.6112E-05;7.35822E-05;5.74783E-05;2.6262E-05;1.6665;0.01;0.6358;;;;;;;;;;
CL;clay loam;Jílovitá hlína;USDA;4;;10.69;2.97E-06;0.000421759;0.000339763;0.000215728;3.99854E-05;1.7025;0.01;0.6028;;;;;;;;;;
L;loam;Hlína;USDA;8;;13.24;3.68E-06;0.000289445;0.000253314;0.000194063;6.92586E-05;1.7385;0.12;0.5613;;;;;;;;;;
LSA;loamy sand;Hlinitý písek;USDA;11;;43.54;1.21E-05;0.000522242;0.000496659;0.000434374;0.00020946;1.8165;0.016;0.3661;;;;;;;;;;
SA;sand;Písek;USDA;12;;64.65;1.80E-05;0.000502822;0.000498393;0.000473427;0.00023629;1.8165;0.016;0.3661;;;;;;;;;;
SAC;sandy clay;Písèitý jíl;USDA;7;;;;;;;;;0.012;;;;;;;;;;;
SACL;sandy clay loam;Písèitojílovitá hlína;USDA;9;;21.21;5.89E-06;0.00010258;8.8318E-05;7.03583E-05;3.45406E-05;1.7025;0.012;0.6028;;;;;;;;;;
SAL;sandy loam;Písèitá hlína;USDA;10;;21.92;6.09E-06;0.000266719;0.000235787;0.000187316;7.907E-05;1.7925;0.014;0.4622;;;;;;;;;;
SI;silt;Prach;USDA;5;;;;;;;;;0.012;;;;;;;;;;;
SIL;silt loam;Prachovitá hlína;USDA;6;;8.25;2.29E-06;0.000345035;0.000296258;0.000216177;5.8772E-05;1.7385;0.012;0.5613;;;;;;;;;;
SIC;silty clay;Prachovitý jíl;USDA;2;;6.67;1.85E-06;0.00014978;0.000122092;8.53893E-05;2.43808E-05;1.6665;0.01;0.6358;;;;;;;;;;
SICL;silty clay loam;Prachovitojílovitá hlína;USDA;3;;6.54;1.82E-06;0.00022405;0.000185751;0.000129897;3.44618E-05;1.7025;0.012;0.6028;;;;;;;;;;
NO;nosoil;bez pùdy;0;0;;0.00;0.00E+00;0;0;0;0;1.5847;0.01;0.48887216;;;;;;;;;;
